"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1610982000000,0.2844,0.2856,0.283,0.2841,9876977,2809768.4,"direct","",1610982000,"2021-01-18"
1610985600000,0.282,0.2867,0.2812,0.2844,13967940.83,3954931.3,"direct","",1610985600,"2021-01-18"
1610989200000,0.279,0.2826,0.2779,0.282,18251724.49,5101226.81,"direct","",1610989200,"2021-01-18"
1610992800000,0.2793,0.2802,0.2786,0.279,11808577.75,3298116.99,"direct","",1610992800,"2021-01-18"
1610996400000,0.282,0.2829,0.2789,0.2793,17206212.86,4831576.88,"direct","",1610996400,"2021-01-18"
1611000000000,0.2818,0.2836,0.281,0.282,14099708.03,3981550.45,"direct","",1611000000,"2021-01-18"
1611003600000,0.282,0.283,0.2811,0.2818,11749555.63,3315172.81,"direct","",1611003600,"2021-01-18"
1611007200000,0.2834,0.2838,0.282,0.282,13783003.22,3902618.26,"direct","",1611007200,"2021-01-18"
1611010800000,0.2855,0.2864,0.2827,0.2834,16505824.87,4695433.71,"direct","",1611010800,"2021-01-18"
1611014400000,0.2858,0.2875,0.2841,0.2855,13686053.91,3903465.47,"direct","",1611014400,"2021-01-18"
1611018000000,0.2895,0.2927,0.2856,0.2858,28357104.59,8215975.38,"direct","",1611018000,"2021-01-18"
1611021600000,0.289,0.291,0.2874,0.2895,18952675.83,5488196.61,"direct","",1611021600,"2021-01-18"
1611025200000,0.2918,0.2949,0.2878,0.289,20055926.48,5835150.12,"direct","",1611025200,"2021-01-18"
1611028800000,0.2907,0.2928,0.2888,0.2918,16177703.51,4707164.42,"direct","",1611028800,"2021-01-18"
1611032400000,0.3218,0.3224,0.2906,0.2907,56026428.27,17208271.8,"direct","",1611032400,"2021-01-18"
1611036000000,0.3108,0.3293,0.3069,0.3218,74635890.71,23625356.83,"direct","",1611036000,"2021-01-19"
1611039600000,0.3067,0.313,0.3017,0.3108,21589865.84,6646843.95,"direct","",1611039600,"2021-01-19"
1611043200000,0.3078,0.3105,0.3039,0.3067,17210324.36,5289113.52,"direct","",1611043200,"2021-01-19"
1611046800000,0.305,0.3101,0.3045,0.3078,18548010.13,5710197.68,"direct","",1611046800,"2021-01-19"
1611050400000,0.3017,0.3069,0.2964,0.305,24666006.46,7431362.21,"direct","",1611050400,"2021-01-19"
1611054000000,0.3023,0.3034,0.2985,0.3017,19019438.63,5728706.64,"direct","",1611054000,"2021-01-19"
1611057600000,0.3048,0.312,0.3014,0.3023,34216616.84,10497490.52,"direct","",1611057600,"2021-01-19"
1611061200000,0.3077,0.3097,0.3046,0.3048,18548114.36,5692209.33,"direct","",1611061200,"2021-01-19"
1611064800000,0.3032,0.308,0.3026,0.3077,15699224.43,4782749.53,"direct","",1611064800,"2021-01-19"
1611068400000,0.3083,0.3087,0.3015,0.3032,10324709.81,3147058.19,"direct","",1611068400,"2021-01-19"
1611072000000,0.3054,0.3108,0.3046,0.3083,18895048.44,5804062.58,"direct","",1611072000,"2021-01-19"
1611075600000,0.3053,0.3068,0.3027,0.3054,23634485.21,7197376.83,"direct","",1611075600,"2021-01-19"
1611079200000,0.2966,0.3053,0.2948,0.3053,15732439.25,4713134.23,"direct","",1611079200,"2021-01-19"
1611082800000,0.2998,0.3019,0.2962,0.2966,11920111.4,3568316.55,"direct","",1611082800,"2021-01-19"
1611086400000,0.3042,0.3055,0.2987,0.2998,6350821.36,1919786.86,"direct","",1611086400,"2021-01-19"
1611090000000,0.3034,0.3045,0.3021,0.3042,4363279.58,1323371.13,"direct","",1611090000,"2021-01-19"
1611093600000,0.3001,0.3039,0.2993,0.3034,5568765.73,1676514.48,"direct","",1611093600,"2021-01-19"
1611097200000,0.2942,0.3005,0.2937,0.3001,11362338.33,3374012.5,"direct","",1611097200,"2021-01-19"
1611100800000,0.2982,0.2982,0.2907,0.2942,10217036.25,3010211.96,"direct","",1611100800,"2021-01-19"
1611104400000,0.2954,0.2993,0.293,0.2982,6887276.14,2036357.69,"direct","",1611104400,"2021-01-19"
1611108000000,0.2926,0.2954,0.2894,0.2954,7400660.49,2160786.26,"direct","",1611108000,"2021-01-19"
1611111600000,0.2856,0.2939,0.2835,0.2926,12421719.93,3571988.78,"direct","",1611111600,"2021-01-19"
1611115200000,0.2886,0.2893,0.2832,0.2856,6735074.22,1928871.72,"direct","",1611115200,"2021-01-19"
1611118800000,0.2902,0.2907,0.2878,0.2886,4648484.59,1343751.06,"direct","",1611118800,"2021-01-19"
1611122400000,0.2888,0.2918,0.2886,0.2902,3896456.08,1131007.87,"direct","",1611122400,"2021-01-20"
1611126000000,0.2975,0.3118,0.2888,0.2888,19679862.89,5977275.43,"direct","",1611126000,"2021-01-20"
1611129600000,0.2969,0.3005,0.2953,0.2975,4970764.17,1478974.12,"direct","",1611129600,"2021-01-20"
1611133200000,0.2873,0.2971,0.2839,0.2969,18293447.18,5301009.98,"direct","",1611133200,"2021-01-20"
1611136800000,0.2878,0.2895,0.282,0.2873,19474732.38,5578694.96,"direct","",1611136800,"2021-01-20"
1611140400000,0.2851,0.2887,0.2795,0.2878,18442563.39,5251142.14,"direct","",1611140400,"2021-01-20"
1611144000000,0.2885,0.2889,0.2816,0.2851,5157032.61,1475256.71,"direct","",1611144000,"2021-01-20"
1611147600000,0.2898,0.2907,0.2849,0.2885,5075985.78,1458476.84,"direct","",1611147600,"2021-01-20"
1611151200000,0.2883,0.2908,0.2879,0.2898,5605558.88,1621766.32,"direct","",1611151200,"2021-01-20"
1611154800000,0.2852,0.29,0.2842,0.2883,4486979.07,1289675.99,"direct","",1611154800,"2021-01-20"
