"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1612107600000,0.4547,0.4579,0.4523,0.4523,1509.42,687.57,"force_direct","",1612107600,"2021-01-31"
1612107900000,0.4623,0.4648,0.4547,0.4547,817.34,378.69,"force_direct","",1612107900,"2021-01-31"
1612108200000,0.4682,0.4744,0.4618,0.4623,9514.13,4456.41,"force_direct","",1612108200,"2021-01-31"
1612108500000,0.48,0.4821,0.4682,0.4682,2955.85,1409.03,"force_direct","",1612108500,"2021-01-31"
1612108800000,0.4647,0.4841,0.4647,0.48,4077.84,1951.33,"force_direct","",1612108800,"2021-01-31"
1612109100000,0.4717,0.475,0.4647,0.4647,9451.02,4412.4,"force_direct","",1612109100,"2021-01-31"
1612109400000,0.4659,0.4731,0.4627,0.4717,1704.26,794.85,"force_direct","",1612109400,"2021-01-31"
1612109700000,0.4629,0.4659,0.4568,0.4659,525.62,240.5,"force_direct","",1612109700,"2021-01-31"
1612110000000,0.4679,0.4785,0.4547,0.4629,1571.43,735.19,"force_direct","",1612110000,"2021-01-31"
1612110300000,0.4639,0.4679,0.4589,0.4679,1349.27,624.98,"force_direct","",1612110300,"2021-01-31"
1612110600000,0.45,0.4639,0.45,0.4639,10314.77,4645.64,"force_direct","",1612110600,"2021-01-31"
1612110900000,0.4589,0.4723,0.45,0.45,318.44,144.81,"force_direct","",1612110900,"2021-01-31"
1612111200000,0.4646,0.4721,0.451,0.4589,3038.56,1397.96,"force_direct","",1612111200,"2021-01-31"
1612111500000,0.4509,0.4662,0.4509,0.4646,1276.53,587.49,"force_direct","",1612111500,"2021-01-31"
1612111800000,0.4538,0.457,0.4506,0.4509,1014.33,462.35,"force_direct","",1612111800,"2021-01-31"
1612112100000,0.4699,0.4699,0.4538,0.4538,139.83,64.84,"force_direct","",1612112100,"2021-01-31"
1612112400000,0.4511,0.4699,0.4511,0.4699,3054.47,1395.89,"force_direct","",1612112400,"2021-01-31"
1612112700000,0.45,0.4511,0.45,0.4511,410.17,184.58,"force_direct","",1612112700,"2021-01-31"
1612113000000,0.453,0.4543,0.45,0.45,1808.01,817.06,"force_direct","",1612113000,"2021-01-31"
1612113300000,0.4577,0.4577,0.453,0.453,404.07,183.97,"force_direct","",1612113300,"2021-01-31"
1612113600000,0.452,0.4577,0.452,0.4577,34.96,15.8,"force_direct","",1612113600,"2021-01-31"
1612113900000,0.4551,0.4551,0.452,0.452,20.06,9.12,"force_direct","",1612113900,"2021-01-31"
1612114200000,0.4574,0.4574,0.452,0.4551,930.62,423.08,"force_direct","",1612114200,"2021-01-31"
1612114500000,0.461,0.4653,0.4574,0.4574,3827.82,1772.83,"force_direct","",1612114500,"2021-01-31"
1612114800000,0.4573,0.4633,0.4573,0.461,53.14,24.34,"force_direct","",1612114800,"2021-01-31"
1612115100000,0.459,0.459,0.455,0.4573,2831.52,1289.15,"force_direct","",1612115100,"2021-01-31"
1612115400000,0.467,0.467,0.459,0.459,1203.88,555.46,"force_direct","",1612115400,"2021-01-31"
1612115700000,0.4536,0.467,0.4536,0.467,1012.95,461.46,"force_direct","",1612115700,"2021-01-31"
1612116000000,0.4541,0.4541,0.4536,0.4536,22.02,10,"force_direct","",1612116000,"2021-01-31"
1612116300000,0.4599,0.4599,0.4541,0.4541,228.84,104.61,"force_direct","",1612116300,"2021-01-31"
1612116600000,0.4602,0.4602,0.4563,0.4599,835.89,384.62,"force_direct","",1612116600,"2021-01-31"
1612116900000,0.462,0.462,0.46,0.4602,100.14,46.09,"force_direct","",1612116900,"2021-01-31"
1612117200000,0.462,0.462,0.462,0.462,0,0,"force_direct","",1612117200,"2021-01-31"
1612117500000,0.459,0.462,0.459,0.462,245.72,113.2,"force_direct","",1612117500,"2021-01-31"
1612117800000,0.4555,0.4632,0.4555,0.459,922.38,420.85,"force_direct","",1612117800,"2021-01-31"
1612118100000,0.455,0.4555,0.455,0.4555,7409.81,3374.76,"force_direct","",1612118100,"2021-01-31"
1612118400000,0.4599,0.4599,0.4543,0.455,2078.01,948.26,"force_direct","",1612118400,"2021-01-31"
1612118700000,0.4572,0.4599,0.4557,0.4599,1769.5,810.25,"force_direct","",1612118700,"2021-01-31"
1612119000000,0.4485,0.4572,0.4449,0.4572,19026.93,8533.41,"force_direct","",1612119000,"2021-01-31"
1612119300000,0.4406,0.4485,0.4406,0.4485,6772.79,3001.02,"force_direct","",1612119300,"2021-01-31"
1612119600000,0.4521,0.4522,0.4406,0.4406,4760.01,2118.24,"force_direct","",1612119600,"2021-01-31"
1612119900000,0.4509,0.4521,0.4509,0.4521,63.34,28.56,"force_direct","",1612119900,"2021-01-31"
1612120200000,0.4558,0.4604,0.4509,0.4509,18935.09,8697.48,"force_direct","",1612120200,"2021-01-31"
1612120500000,0.4547,0.4598,0.452,0.4558,47456.49,21549.73,"force_direct","",1612120500,"2021-01-31"
1612120800000,0.4595,0.4595,0.4547,0.4547,24.11,11.08,"force_direct","",1612120800,"2021-01-31"
1612121100000,0.4595,0.4595,0.4595,0.4595,0,0,"force_direct","",1612121100,"2021-01-31"
1612121400000,0.4502,0.4595,0.4502,0.4595,120,54.02,"force_direct","",1612121400,"2021-01-31"
